pattern,n,n_docs,npmi,h_slot,g_squared,atp,delta_p,accepted,lane
"pres-be,pp_unlike_NP",3,1,0.35419918628000185,1.584962500721156,0.3005204043872487,0.13115013182338012,0.25708479166644255,False,
"prog-be,pp_along_NP",1,1,0.23428454754821557,0.0,0.7795472524830993,0.10214775684324787,0.20357728727119165,False,
"modal-be,pp_towards_NP",6,1,0.11466580425552518,2.2516291673878226,4.687400106834925,0.37535943614084083,0.4873872860680734,True,Both
"pres-be,pp_below_NP",3,1,0.42417994510574925,0.9182958340544896,0.3005204043872487,0.11597726402847097,0.2176787650750592,False,
"modal-be,pp_notwithstanding_NP",2,1,0.1209047996797088,1.0,0.011260794684925024,0.4191180569525622,0.5529461165205208,False,
"perf-be,pp_along_NP",2,1,0.2258093152604568,1.0,0.011260794684925024,0.4439852762361781,0.3715909318151156,False,
"modal-be,pp_beyond_NP",1,1,-0.10606904668272683,0.0,0.7795472524830993,0.3808010231345881,0.36712186013174836,False,
"modal-be,pp_until_NP",2,1,0.1209047996797088,1.0,0.011260794684925024,0.3579663870827219,0.4270071045520971,False,
"pres-be,pp_amongst_NP",3,1,0.29991789264583596,1.584962500721156,0.3005204043872487,0.1272785896906197,0.2526115671237497,False,
"pres-be,pp_along_NP",3,1,0.25556684641624816,1.584962500721156,0.3005204043872487,0.11718685960535248,0.23223177539197834,False,
"past-be,pp_out_NP",5,1,0.5507265530696669,1.9219280948873623,2.776970575599435,0.19553061492823182,0.38049167871327827,True,H_slot
"prog-be,pp_off_NP",1,1,0.3673393556854597,0.0,0.7795472524830993,0.14868668424751288,0.8945621985089899,False,
"perf-be,pp_between_NP",2,1,0.46906215686750174,1.0,0.011260794684925024,0.36966060592790306,0.10469116491534874,False,
"modal-be,pp_over_NP",16,1,0.1991969094871072,3.75,37.578389580698236,0.35023637739035973,0.3336132443162646,True,Both
"modal-be,pp_than_NP",4,1,0.0844591443501047,0.8112781244591328,1.280487329538901,0.3089461217238508,0.10455540801231887,False,
"modal-be,pp_up_NP",20,1,0.18352768126372362,1.0219280948873624,55.284007917739686,0.3137187568978419,0.1422881892094989,True,NPMI
"pres-be,pp_round_NP",1,1,0.3347259593137793,0.0,0.7795472524830993,0.13522955986479687,0.2695621985089899,False,
"modal-be,pp_across_NP",2,1,0.03112741348335356,1.0,0.011260794684925024,0.3444160473409691,0.3022001724334553,False,
"pres-be,pp_o_NP",1,1,0.3347259593137793,0.0,0.7795472524830993,0.45380359214785665,0.9075354480339132,False,
"modal-be,pp_inside_NP",3,1,0.13282992297287696,1.584962500721156,0.3005204043872487,0.323158060292424,0.2869023043573639,False,
"modal-be,pp_behind_NP",2,1,0.1209047996797088,1.0,0.011260794684925024,0.4148636398267711,0.5873548630002502,False,
"perf-be,pp_within_NP",5,1,0.5884486979106197,2.321928094887362,2.776970575599435,0.40908257827742983,0.20059781251430567,True,H_slot
"prog-be,pp_around_NP",1,1,0.23428454754821557,0.0,0.7795472524830993,0.27571426747446187,0.9813550650489694,False,
"modal-be,pp_throughout_NP",4,1,0.0844591443501047,0.8112781244591328,1.280487329538901,0.3723536973923049,0.36522163362658877,False,
"past-be,pp_alongside_NP",1,1,0.49341312133523335,0.0,0.7795472524830993,0.10328062555163876,0.1948084627799373,False,
"modal-be,pp_down_NP",1,1,0.10481783475545321,0.0,0.7795472524830993,0.32551819461704506,0.18287868395308832,False,
"past-be,pp_against_NP",2,1,0.4156644694270786,1.0,0.011260794684925024,0.2165569188954857,0.43242703308483166,False,
"modal-be,pp_beside_NP",2,1,0.1209047996797088,1.0,0.011260794684925024,0.3118877816365425,0.22710969008892967,False,
"modal-be,pp_inspite_NP",1,1,-0.02823697338179091,0.0,0.7795472524830993,0.35569461854737255,0.26804351911792346,False,
"prog-be,pp_against_NP",2,1,0.5134943167859102,1.0,0.011260794684925024,0.2496153059188579,0.29087887457277894,False,
"modal-be,pp_notin_NP",1,1,0.10481783475545321,0.0,0.7795472524830993,0.3364699237234956,0.19097584994499112,False,
"past-be,pp_throughout_NP",1,1,0.18446942416151862,0.0,0.7795472524830993,0.11408487407014625,0.22786873264142668,False,
"perf-be,pp_without_NP",1,1,0.4066511815810544,0.0,0.7795472524830993,0.40007945872638523,0.15199202818136712,False,
"modal-be,pp_via_NP",3,1,0.13282992297287696,1.584962500721156,0.3005204043872487,0.3640139623865519,0.3895433054731436,False,
"modal-be,pp_around_NP",4,1,0.03677083397322515,1.5,1.280487329538901,0.3859729832026196,0.44803350576678863,True,H_slot
"perf-be,pp_upto_NP",1,1,0.4066511815810544,0.0,0.7795472524830993,0.28741015522384145,0.135560103298738,False,
"perf-be,pp_towards_NP",1,1,0.033119111053531936,0.0,0.7795472524830993,0.3718002411131568,0.1017605694992042,False,
"pres-be,pp_althrough_NP",1,1,0.3347259593137793,0.0,0.7795472524830993,0.21287527352482777,0.42477682734425803,False,
"perf-be,pp_like_NP",2,1,0.46906215686750174,1.0,0.011260794684925024,0.49942372385909684,0.5888934366320713,False,
"modal-be,pp_forwhy_NP",1,1,0.10481783475545321,0.0,0.7795472524830993,0.4322349180669789,0.5751863762607805,False,
"modal-be,pp_outside_NP",4,1,0.0844591443501047,1.5,1.280487329538901,0.3347965573215174,0.27660794488823154,True,H_slot
"modal-be,pp_throught_NP",1,1,0.10481783475545321,0.0,0.7795472524830993,0.4257786950308077,0.5820829279849185,False,
"perf-be,pp_around_NP",1,1,0.06270949200563013,0.0,0.7795472524830993,0.38194364217888954,0.16889343663207135,False,
"pres-be,pp_withapart_NP",1,1,0.3347259593137793,0.0,0.7795472524830993,0.13069018822773476,0.25667337906839593,False,
"pres-be,pp_toward_NP",1,1,0.20167115117653522,0.0,0.7795472524830993,0.12017612788801123,0.23938978471588648,False,
"modal-be,pp_tot_NP",1,1,0.10481783475545321,0.0,0.7795472524830993,0.387639224847127,0.42611230218670654,False,
