pattern,n_tokens,n_docs,atp,delta_p,h_slot,npmi,dispersion,g_squared,p_value,p_value_fdr
"modal-be,pp_at_NP",5,4,0.35646834066001415,0.35420908062691875,1.3709505944546687,0.3224098134581442,0.9473684210526325,3.874392893788867,0.14410739671058048,0.9901958642129153
"pres-be,pp_from_NP",5,5,0.2789765867840558,0.5529890274533997,1.9219280948873623,0.4063191059831328,0.8947368421052639,3.874392893788867,0.14410739671058048,0.9901958642129153
"perf-be,pp_with_NP",4,4,0.5105981550871587,0.6312813055420907,1.5,0.39851919098330435,0.9649122807017553,2.0079420366950353,0.3664214818683252,0.9901958642129153
"modal-be,pp_without_NP",4,4,0.35737476189980766,0.4544295178080927,1.5,0.374625161307172,0.9561403508771941,2.0079420366950353,0.3664214818683252,0.9901958642129153
"perf-be,pp_to_NP",4,4,0.459854140914395,0.40211463887542415,2.0,0.2980768416338464,0.9473684210526326,2.0079420366950353,0.3664214818683252,0.9901958642129153
"perf-be,pp_of_NP",4,4,0.4527122409775995,0.39794797220875744,1.5,0.19160366071692234,0.9473684210526324,2.0079420366950353,0.3664214818683252,0.9901958642129153
"past-be,pp_into_NP",4,4,0.3048308366110111,0.602934642106964,2.0,0.38395454587756145,0.9473684210526324,2.0079420366950353,0.3664214818683252,0.9901958642129153
"modal-be,pp_against_NP",4,3,0.31352987855434555,0.34769866396025206,1.5,0.19916143172310294,0.9561403508771936,2.0079420366950353,0.3664214818683252,0.9901958642129153
"prog-be,pp_to_NP",3,3,0.1118189876703891,0.2300883287553186,1.584962500721156,0.20711712080376193,0.964912280701755,0.6650163266610076,0.7171228147295426,0.9901958642129153
"modal-be,pp_of_NP",3,3,0.4075470232669547,0.9132331555986427,1.584962500721156,0.07536016853211724,0.9736842105263169,0.6650163266610076,0.7171228147295426,0.9901958642129153
"prog-be,pp_from_NP",3,3,0.17503692529718215,0.48749573616272596,1.584962500721156,0.17040832910477252,0.9473684210526322,0.6650163266610076,0.7171228147295426,0.9901958642129153
"prog-be,to_VP",3,2,0.2798653002365908,0.5800883287553186,0.9182958340544896,0.44004572322920554,0.9298245614035096,0.6650163266610076,0.7171228147295426,0.9901958642129153
"prog-be,pp_on_NP",3,3,0.12399545957433439,0.33008832875531857,1.584962500721156,0.29961588835089875,0.9473684210526324,0.6650163266610076,0.7171228147295426,0.9901958642129153
"prog-be,pp_at_NP",2,2,0.12920554517392782,0.30534085400784383,1.0,0.05303169738440956,0.9736842105263165,0.019705025564934198,0.9901958642129153,0.9901958642129153
"perf-be,pp_on_NP",2,2,0.4235727400698579,0.2860432103039956,1.0,0.1587548224477921,0.982456140350878,0.019705025564934198,0.9901958642129153,0.9901958642129153
"past-be,pp_of_NP",2,2,0.311622037143123,0.6186783002100501,1.0,0.020340602379009348,0.982456140350878,0.019705025564934198,0.9901958642129153,0.9901958642129153
"perf-be,pp_through_NP",2,2,0.5601220176428107,0.8217574960182812,1.0,0.2139466903049922,0.9649122807017552,0.019705025564934198,0.9901958642129153,0.9901958642129153
"pres-be,pp_over_NP",2,2,0.14849587653150426,0.2863747982507071,1.0,0.33019642302170554,0.9649122807017552,0.019705025564934198,0.9901958642129153,0.9901958642129153
"prog-be,pp_into_NP",2,2,0.2344063407450946,0.635643884310874,1.0,0.12418639055896895,0.964912280701755,0.019705025564934198,0.9901958642129153,0.9901958642129153
"pres-be,pp_against_NP",2,2,0.36143149540733366,0.7165050896752303,1.0,0.058467915048438124,0.9561403508771941,0.019705025564934198,0.9901958642129153,0.9901958642129153
"pres-be,pp_out_NP",2,2,0.2034906359830814,0.3980395325039048,1.0,0.4304833304210596,0.9649122807017553,0.019705025564934198,0.9901958642129153,0.9901958642129153
"prog-be,pp_in_NP",2,2,0.3214858266682824,0.635643884310874,1.0,0.39591489853223644,0.9736842105263167,0.019705025564934198,0.9901958642129153,0.9901958642129153
"past-be,pp_after_NP",2,2,0.3515117503544552,0.6841544906862407,1.0,0.31812876398468226,0.9210526315789485,0.019705025564934198,0.9901958642129153,0.9901958642129153
"perf-be,pp_as_NP",2,2,0.38063626864589295,0.1129662872270725,1.0,0.38538829087890564,0.9736842105263165,0.019705025564934198,0.9901958642129153,0.9901958642129153
"past-be,pp_through_NP",2,2,0.3562340706366397,0.7071013087736306,1.0,0.24697407081012285,0.9824561403508784,0.019705025564934198,0.9901958642129153,0.9901958642129153
"pres-be,pp_around_NP",2,2,0.18008401391520634,0.3521423640182728,1.0,0.4304833304210596,0.9736842105263168,0.019705025564934198,0.9901958642129153,0.9901958642129153
"perf-be,pp_due_NP",2,2,0.5927835724316741,0.9646146388754241,1.0,0.2851013834795516,0.9824561403508784,0.019705025564934198,0.9901958642129153,0.9901958642129153
"prog-be,pp_against_NP",2,1,0.21635121648228964,0.46897721764420747,0.0,0.023899483159614997,0.9649122807017553,0.019705025564934198,0.9901958642129153,0.9901958642129153
